distance,key
853.7616763476796,"left"
849.0606574326713,"right"
790.5694150420949,"right"
785.5730392522391,"left"
470.73665674132496,"down"
466.6347608140654,"down"
462.55053777938684,"down"
458.48445993294035,"up"
454.4370143375207,"up"
526.4570257865308,"down"
521.8927092803654,"down"
517.3364475851281,"right"
512.7884554082707,"up"
508.248954745605,"down"
503.7181751733801,"down"
499.1963541533532,"down"
494.68373735145167,"up"
490.1805789706483,"up"
485.6871420986971,"up"
481.20369907140156,"left"
476.73053185211455,"up"
472.2679324281927,"left"
467.8162032251555,"left"
463.3756575393231,"down"
458.9466199897326,"down"
454.5294269901565,"down"
450.12442724206824,"up"
445.7319822494231,"down"
441.3524668561398,"left"
568.4804306218465,"left"
564.7167431553628,"right"
560.9723700860854,"right"
557.2477007579305,"right"
553.5431329173906,"up"
549.8590728541269,"up"
546.1959355396193,"right"
542.5541447634513,"right"
538.9341332667657,"down"
535.3363428724039,"down"
531.7612246111971,"up"
528.2092388438506,"down"
524.6808553778192,"up"
521.1765535785354,"down"
517.6968224743126,"down"
514.242160854203,"up"
510.8130773580489,"right"
507.41009055792335,"right"
504.03372903011166,"right"
500.6845314167395,"left"
497.36304647611286,"left"
432.3251091481965,"down"
427.375712927162,"down"
419.1479452412954,"down"
413.0012106519786,"up"
409.02933880102046,"down"
407.2959611879303,"right"
407.82962128810607,"up"
410.62148019800424,"up"
415.62603383330065,"right"
422.7647099747092,"down"
431.9317075649807,"down"
413.726963104896,"up"
423.2079866921228,"up"
434.6147719532782,"up"
414.5419158541148,"down"
426.2980178232125,"up"
439.8465641561839,"down"
418.0550203023521,"up"
431.97800869951703,"down"
409.89022920777217,"down"
528.9102003175965,"right"
508.50860366369415,"left"
489.14823928948164,"up"
470.9575352407051,"up"
454.07708596668914,"up"
438.65818127558043,"down"
424.8599769335775,"down"
429.23303693914335,"up"
415.24209805847,"down"
419.83449119861507,"down"
426.5512864826456,"down"
435.29415341812256,"down"
417.45179362412614,"up"
426.4985345813043,"up"
437.47685653071983,"down"
417.75710646259506,"down"
429.0757508878823,"down"
409.07334305720775,"down"
420.74457809934995,"down"
434.2361108889955,"up"
392.674165180242,"down"
378.4415410601748,"left"
366.18711064154076,"up"
356.11514991642804,"up"
348.4149824562658,"down"
464.6730033044743,"down"
459.02723230762683,"down"
455.34712033788026,"up"
818.1032942116784,"down"
814.1774990749867,"left"
840.1720061987307,"left"
836.1728290251962,"left"
802.1801543294374,"up"
